test_id	test_value
SKP400-04	62,06
SKP400-04	63,44
SKP400-04	61,92
SKP400-04	61,78
SKP400-04	60,3
SKP400-04	59,04
SKP400-04	60,12
SKP400-04	59,64
SKP400-04	61,9
SKP600-73	16,866
SKP600-73	15,786
SKP600-73	17,011
SKP600-73	16,752
SKP600-73	14,586
SKP600-73	17,596
SKP600-73	14,576
SKP600-73	14,469
SKP600-73	13,978
SKP600-73	13,858
SKP600-73	18,292
SKP600-73	16,707
SKP600-73	14,877
SKP600-73	14,403
SKP600-73	17,665
SKP600-73	13,05
SKP600-73	15,054
SKP600-73	16,222
SKP600-73	16,513
SKP600-73	15,927
SKP600-73	15,39
SKP600-73	17,187
SKP600-73	14,386
SKP600-73	15,772
SKP600-73	17,015
SKP600-73	16,43
SKP600-73	17,108
SKP600-73	15,682
SKP600-73	16,446
SKP600-73	14,968
SKP600-73	16,729
SKP600-73	17,533
SKP600-73	17,178
SKP600-73	15,113
SKP600-73	16,065
SKP600-73	16,097
SKP600-73	17,621
SKP600-73	16,368
SKP600-73	14,615
SKP600-73	13,981
SKP600-73	15,991
SKP600-73	16,443
SKP600-73	14,548
SKP600-73	14,635
SKP600-73	17,125
SKP600-73	17,073
SKP600-73	16,36
SKP600-73	14,814
SKP600-73	16,125
SKP600-73	15,195
SKP600-73	14,376
SKP600-73	15,393
SKP600-73	16,466
SKP600-73	15,309
SKP600-73	16,095
SKP600-73	16,461
SKP600-73	15,349
SKP600-73	15,357
SKP600-73	14,35
SKP600-73	15,829
SKP600-73	15,345
SKP600-73	14,747
SKP600-78	12,896
SKP600-78	13,202
SKP600-78	13,007
SKP600-78	12,504
SKP600-78	13,14
SKP600-78	13,245
SKP600-78	12,876
SKP600-78	13,703
SKP600-78	12,605
SKP600-78	12,771
SKP600-78	12,894
SKP600-78	13,688
SKP600-78	13,855
SKP600-78	13,054
SKP600-78	13,107
SKP600-78	13,133
SKP600-78	13,339
SKP600-78	13,303
SKP600-78	12,178
SKP600-78	12,808
SKP600-78	12,835
SKP600-78	13,615
SKP600-78	12,913
SKP600-78	13,074
SKP600-78	12,864
SKP600-78	12,627
SKP600-78	13,187
SKP600-78	12,854
SKP600-78	12,764
SKP600-78	12,836
SKP600-78	13,151
SKP600-78	13,013
SKP600-78	13,747
SKP600-78	12,821
SKP600-78	12,851
SKP600-78	13,276
SKP600-78	13,512
SKP600-78	13,109
SKP600-78	12,69
SKP600-78	13,815
SKP600-78	13,537
SKP600-78	13,018
SKP600-78	13,542
SKP600-78	13,422
SKP600-78	12,882
SKP600-78	13,733
SKP600-78	13,038
SKP600-78	12,656
SKP600-78	13,443
SKP600-78	13,103
SKP600-78	12,478
SKP600-78	12,874
SKP600-78	13,303
SKP600-78	12,704
SKP600-78	13,26
SKP600-78	12,481
SKP600-78	13,674
SKP600-78	13,139
SKP600-78	13,21
SKP600-78	13,292
SKP600-78	13,296
SKP600-78	14,022
M500-6	-0,0903261254055846
M500-6	-0,109321645736428
M500-6	-0,0428125163303235
M500-6	-0,0134631317034824
M500-6	-0,264988711333213
M500-6	-0,154136261788006
M500-6	-0,107866779651501
M500-6	-0,0919109761394871
M500-6	-0,0315879811189159
M500-6	-0,070866550796267
M500-6	-0,078633202071716
M500-6	-0,0909238561685883
M500-6	-0,0524584447696462
M500-6	-0,0433140662024689
M500-6	-0,13025675116364
M500-6	-0,0179186997815385
M500-6	-0,0678854783676043
M500-6	-0,0983821829415848
M500-6	-0,390384676565458
M500-6	-0,00229511373097212
M500-6	-0,105000415469116
M500-6	-0,0130746435801912
M500-6	-0,0847459735859241
M500-6	-6,35593381630407E-4
M500-6	-0,0509939621865332
M500-6	-0,0488524067639373
M500-6	-0,113064224836876
M500-6	-0,0174283901793435
M500-6	-0,0656520156742257
M500-6	-0,162085865153454
M500-6	-0,0859305641397983
M500-6	-0,0621158396020309
M500-6	-0,0113218364929106
M500-6	-0,0479218619826922
M500-6	-0,102804305195825
M500-6	-0,0797324838428579
M500-6	-0,0129291336776016
M500-6	-0,00260287235646737
M500-6	-0,122424297949935
M500-6	-0,0539929813218027
M500-6	-0,0368102214845583
M500-6	-0,0871473471800312
M500-6	-0,0103157607819061
M500-6	-0,0434940957315055
M500-6	-0,0840422636259255
M500-6	-0,040215457279168
M500-6	-0,227464722506288
M500-6	-0,0780084183024849
M500-6	-0,0692184286618012
M500-6	-0,0614136034217951
M500-6	-0,00837803921634841
M500-6	-0,0451922411560599
M500-6	-8,02010049117744E-4
M500-6	-0,0143714652482835
M500-6	-0,101908577751421
M500-6	-0,0628224539431862
M500-6	-9,70293656096972E-4
M500-6	-0,0216950508239885
M500-6	-0,0545457066909874
M500-6	-0,0873555001094929
M500-6	-0,293706108055548
M500-6	-0,0459915536313472
SKP400-01	6,97171568494291
SKP400-01	6,9179917394142
SKP400-01	6,82554678408488
SKP400-01	6,88334186992151
SKP400-01	7,01378326623976
SKP400-01	7,05068529508836
SKP400-01	6,9354098523248
SKP400-01	6,87092716048675
SKP400-01	6,85714881356189
SKP400-01	6,83113403616851
SKP400-01	6,97359374925772
SKP400-01	7,02274570272889
SKP400-01	6,89141430560146
SKP400-01	6,96860859935871
SKP400-01	7,02329061037223
SKP400-01	6,962748589591
SKP400-01	7,0612658200762
SKP400-01	7,0410288066115
SKP400-01	7,0856049141892
SKP400-01	6,84859810234108
SKP400-01	7,00130647700419
SKP400-01	7,03743447599381
SKP400-01	6,95150331926251
SKP400-01	6,89154860577614
SKP400-01	6,89245922359869
SKP400-01	6,87402730123757
SKP400-01	6,99383403083644
SKP400-01	6,84719644838532
SKP400-01	6,8322939287885
SKP400-01	7,02489452007135
SKP400-01	7,04960627956196
SKP400-01	6,8159555422354
SKP400-01	6,84804126877282
SKP400-01	7,03649178221032
SKP400-01	7,07185411438156
SKP400-01	7,00649208383815
SKP400-01	7,0016520673336
SKP400-01	7,01060140081673
SKP400-01	6,98215645223115
SKP400-01	6,97830183284258
SKP400-01	6,84432991141422
SKP400-01	7,03211965500138
